feature0,feature1,feature2,class
16.01029704,5.731837377,18.90727059,A
15.33295833,10.38925056,0.023662352,A
7.292826511,4.059211968,7.914817282,A
13.84217686,9.997444056,0.178466135,A
15.65951412,8.053744101,0.341788143,A
10.33024553,5.993615448,17.80790744,A
21.09042763,15.71079688,4.734929639,A
12.18616788,11.69123195,0.721810062,A
11.30805225,14.99589097,2.255381242,A
11.46024461,2.799235134,4.161966447,A
12.15620495,19.45690976,8.669257847,A
16.42252657,3.720229128,17.56832747,A
8.858179393,16.8500923,13.79049649,A
14.77299505,11.89989316,19.64518861,A
20.55688597,2.332325604,12.72805739,A
10.60579103,18.28745554,13.198371,A
8.412156727,17.2829242,8.51134607,A
14.94036255,9.991576543,0.103462672,A
21.34121131,3.840503252,5.526834889,A
14.86102187,19.53688274,7.675331553,A
15.03655719,9.223263652,19.9618524,A
19.29490968,8.694689497,1.23420962,A
13.84264505,1.149026522,5.762530224,A
20.42550875,10.15979226,1.700304599,A
6.997214647,15.0178632,7.1590642,A
14.39333652,12.08884198,0.437243224,A
7.797549916,11.35447276,3.388351802,A
17.25626093,4.437145032,2.159991197,A
24.0000676,6.149377934,9.332046844,A
16.12451125,17.54232364,16.26539215,A
15.26702069,13.39035665,19.21933775,A
22.91248591,6.361126469,5.267753722,A
15.6908193,9.413815566,19.76309803,A
13.25951599,9.389748216,0.350063284,A
15.25898627,3.112084489,2.989605019,A
19.08168287,4.883495921,2.596980668,A
7.5780554,8.883151111,3.604357232,A
18.7511725,18.69845501,7.145773933,A
12.12739219,9.157482034,0.509198138,A
16.42622629,14.3974326,1.325050162,A
13.96977838,8.94708777,19.87812695,A
11.04003593,15.62755326,2.796150476,A
12.24036327,10.39984588,19.5200788,A
15.58706351,10.85419707,19.94484574,A
9.596335719,18.25316572,10.42062824,A
21.43319066,12.69029152,17.11274404,A
12.50702182,5.689865959,18.63007415,A
10.67455252,11.82117222,18.80777854,A
22.44415699,4.49025071,6.33202518,A
16.06792727,8.958347395,19.85501212,A
9.11520693,7.434843846,17.51223059,A
14.0831999,8.976532787,19.78777225,A
15.89122702,8.403856722,0.260945378,A
21.95334505,16.32687188,13.05454564,A
19.11068412,16.13147813,16.55763874,A
8.847217188,11.33017299,17.71702826,A
16.91891271,11.14384807,19.72296091,A
13.86211086,6.301505904,0.942835222,A
24.49506635,7.579821529,9.454214164,A
14.69060151,0.810259361,6.187773743,A
16.03233635,10.88778304,19.86469117,A
18.13593508,9.422861173,0.643971682,A
18.75795158,5.625358246,1.844913321,A
18.00613373,1.777609591,14.545678,A
8.286778631,4.081794755,14.17015085,A
18.14573193,6.613652027,1.286961349,A
19.0782571,14.49291429,2.162980386,A
11.96837877,17.92335577,15.01286473,A
15.76585357,7.596596966,0.337274663,A
15.25692536,10.14047799,0.18514311,A
12.94768129,7.295971388,19.2138128,A
24.1334192,10.10451983,13.90876722,A
8.261236428,8.055713728,17.08577577,A
13.67367282,9.893764637,19.83084258,A
24.44667776,10.54095572,6.932809712,A
12.51942768,9.607252782,0.453106405,A
13.57654558,1.181533873,14.22534157,A
12.16189841,6.575931454,18.81369325,A
20.71349515,3.310280272,5.470871955,A
14.018886,6.509350044,19.28644708,A
20.80348308,16.78285499,5.677455249,A
12.90682711,3.617301522,2.752365258,A
13.77538676,11.48532661,19.7087216,A
12.6273551,18.03448879,4.720467198,A
13.43206131,6.403180441,19.06897535,A
17.73821942,13.94828033,1.36364537,A
21.89411214,3.520652104,7.239813302,A
17.30144596,6.648882059,1.07182443,A
17.04302098,8.737836916,0.425278821,A
7.750237453,9.231587945,3.326778728,A
12.6329659,19.58439165,8.994925665,A
18.65397146,11.65470846,18.98677312,A
19.68195738,12.10718286,1.554181375,A
13.97279598,5.541701703,18.74407748,A
5.788431553,13.34324121,8.967809635,A
9.23230335,12.90772776,17.55410785,A
22.59447008,11.57189944,3.881577345,A
20.52481421,8.498909566,18.0224233,A
13.79918041,0.752206455,6.671021293,A
8.274549375,5.647119676,15.73630197,A
14.21909995,9.475097675,19.85707309,A
21.57707839,16.12573969,14.12084064,A
23.81301404,10.20534439,14.61402851,A
18.32549174,1.012494493,7.462924931,A
5.491966144,11.26213595,12.59714574,A
13.52220268,1.3120039,5.503529211,A
23.43270523,7.761669143,5.399148114,A
14.95846137,10.09824862,0.170201888,A
7.421356355,16.18785888,7.9779192,A
23.77690761,5.483310389,8.691090907,A
17.89026832,9.212327901,19.43279425,A
22.22222599,13.44333095,15.82361614,A
18.5613568,0.966341504,7.922419423,A
15.82696625,19.31494312,13.11619536,A
9.538799882,15.30156152,3.661110752,A
8.747295497,9.56499876,17.71413717,A
5.216984465,10.65453697,9.952490527,A
15.83024662,2.00990982,15.84428632,A
11.80754882,18.90679847,7.047139015,A
16.89458356,11.45195391,0.382698627,A
19.12715967,14.47256243,17.79594371,A
7.424557097,11.80870552,3.934391116,A
5.367548723,8.906653468,12.03196187,A
11.55966659,11.25428617,0.845145772,A
11.39810391,7.62696556,18.93442148,A
20.28574008,4.138588388,15.9587169,A
7.665348307,16.66994212,8.851724399,A
15.05777348,9.949918035,0.03896651,A
14.95151264,18.36516273,15.42552815,A
23.179153,10.56562546,4.464048992,A
13.66055642,4.580394514,18.20882116,A
23.02577549,13.39378859,5.33837261,A
11.45358913,1.820234642,14.2061858,A
22.81538073,9.820185054,3.838230461,A
16.41489274,12.44005753,19.46763504,A
22.30543031,12.70496635,3.939123852,A
24.92661249,9.054439902,9.351664073,A
21.85181644,16.26381081,6.574222493,A
16.90360118,1.129630478,6.026093459,A
14.76464705,7.552598107,0.384032058,A
20.70720022,13.57049949,2.723826129,A
13.74553937,9.958470211,0.122860372,A
23.47943243,12.18993163,14.47199892,A
24.30274557,13.50911137,8.931133437,A
9.761282456,6.05260806,2.48261672,A
18.67827783,4.312937277,2.751137178,A
24.9101576,10.3924803,10.13232297,A
11.44043032,12.97201869,1.162221612,A
7.75351555,14.7270456,5.28128389,A
9.851598322,3.925250666,15.78670491,A
14.8150727,9.123024162,19.83391319,A
19.41077806,4.729302094,2.860238896,A
6.499463869,5.4144069,7.855861942,A
11.83524318,7.992289085,19.25108034,A
18.61688986,7.572068919,18.87349306,A
15.55770297,10.47334334,19.89265801,A
12.32471007,2.370069858,15.62403682,A
7.380441761,5.811824934,5.137772942,A
15.60785319,16.08282981,2.163543303,A
23.74086663,5.684768355,7.881306089,A
24.25294702,8.897522219,13.55508338,A
14.17521688,16.64671583,17.23044214,A
9.323723575,7.23802275,17.59913237,A
15.88495102,9.30372947,0.170757233,A
14.98987077,8.300502758,19.8418214,A
23.23611888,8.817236596,4.751182782,A
5.491078668,7.456786981,8.894534652,A
7.123504805,11.36387081,4.064630886,A
10.56098117,1.09354195,9.781406324,A
13.71639751,0.710698823,13.27538046,A
16.43547147,17.61409816,3.825637905,A
16.78223629,2.37299777,3.987273427,A
17.96510789,16.34492191,16.90565336,A
22.35875433,7.157990651,3.993374672,A
6.193078607,14.33222145,10.63813797,A
15.31085584,10.6820266,0.092790856,A
10.81768448,1.598946491,7.016053267,A
11.96516759,10.98064224,19.28401358,A
7.027167533,11.91436893,15.50611626,A
19.64213325,7.604531332,1.6876224,A
7.735099958,10.50380961,16.69256514,A
13.72132762,12.80806122,0.619939856,A
17.14293151,9.203407442,19.63983391,A
18.74589013,5.950652468,1.673616447,A
11.53315949,8.387041814,19.14272092,A
23.53364336,6.8713609,6.181193278,A
6.17988821,12.69903866,6.503286855,A
6.043244799,9.210696488,14.01098995,A
13.32127032,19.06189334,13.76530082,A
14.68634822,9.718844413,0.130984523,A
9.230311119,17.86949004,11.59999517,A
10.43182918,8.321293766,1.385819737,A
8.765094658,12.35752049,17.33668989,A
20.10510568,1.618463166,10.78734998,A
14.24611984,16.05234718,17.87316366,A
18.65945015,12.0948169,18.91643969,A
9.675350189,14.03605895,17.31198198,A
13.60054173,7.924609966,0.354552337,A
14.82038363,10.42466606,19.80008047,A
20.12938649,5.332515169,3.008620419,A
7.903670952,10.760172,3.212486072,A
20.32774679,9.631917615,1.726540828,A
14.80485204,9.724857497,19.94075713,A
21.4750068,4.379564034,14.88849225,A
10.15706386,9.188489235,18.58467306,A
13.81293689,9.420551924,0.201116641,A
16.69857924,1.294360473,14.47379457,A
21.76558285,16.37673432,6.477613094,A
21.84994549,3.266233301,12.06171722,A
23.75710332,14.62594767,11.01300917,A
20.01468444,11.13420446,1.551842534,A
19.86173442,1.903906009,6.852593566,A
6.308798012,10.87482915,14.68847384,A
22.55294194,16.23358239,11.89942559,A
21.26492403,4.536890156,4.756970312,A
15.85499648,10.11832311,0.042126552,A
15.00261097,9.998940927,0.162976881,A
12.88261729,15.48046053,2.080121799,A
21.06047824,17.21894893,6.762925459,A
15.07849103,10.50381649,19.91807407,A
15.23447114,10.01270636,0.178830625,A
8.191356604,7.145287111,3.40375819,A
21.56026188,2.779828063,12.1586405,A
23.50723912,12.94218196,14.16500738,A
11.327777,14.01593815,1.626586201,A
10.78754944,8.850508543,18.87080922,A
12.05829601,19.38726144,10.76564183,A
11.7075523,15.34171749,2.3276896,A
14.41849188,14.30340116,18.90596026,A
13.09688584,13.17972532,19.16580484,A
12.02529125,14.14142225,18.41817611,A
14.42719683,0.917948998,6.181007396,A
17.8194109,15.82787888,2.495758114,A
16.40902145,3.420438451,2.804490267,A
20.26371353,2.668629573,14.01286451,A
14.07751795,9.332432654,0.214560437,A
16.27526419,9.345861895,19.80916451,A
20.8078317,8.252068122,2.190312575,A
19.59751491,11.72429324,1.461953028,A
6.371235592,13.66270063,13.34901913,A
8.061495535,8.114456475,16.80049767,A
9.237358121,2.058093406,9.572222301,A
12.32923717,14.2703871,1.496958004,A
14.28796915,10.60826051,19.86493213,A
11.85657503,1.257116716,6.31237259,A
15.1622251,10.484533,19.96624411,A
7.423836619,10.20446562,3.573258069,A
12.31135738,0.651751849,11.62701363,A
12.15695527,18.98106543,12.93777486,A
11.70807743,16.99575901,3.864122963,A
7.014447288,7.151450312,4.951046176,A
12.60129962,3.819750367,2.543019875,A
23.45842982,4.806797094,10.84301972,A
18.57367904,3.380976468,16.44444727,A
21.92275788,11.71402276,3.124417167,A
20.99432966,13.12436235,17.24468369,A
17.68087644,1.798799447,14.65047524,A
5.644873418,13.35352982,10.71744002,A
18.17488064,10.09978259,19.43395204,A
12.76453964,19.10699839,13.24444498,A
24.21130252,6.749174122,10.83234704,A
21.60795028,4.162865623,5.46935592,A
7.657614115,5.757282484,4.766282323,A
17.66911072,7.237855346,19.05808367,A
10.39503786,17.75183469,13.96269851,A
15.1078635,9.421368715,19.8345749,A
16.66202676,2.768394373,3.329466295,A
8.51546967,3.845084238,5.663395811,A
12.01260315,11.94631382,0.689106094,A
15.00949958,4.086428388,17.91918675,A
13.24968017,6.119950774,19.01562939,A
10.75083826,8.414749515,1.13974017,A
7.129863759,4.840729921,7.162522971,A
18.13959278,8.091515813,0.832457736,A
8.382807834,11.21032966,2.624698662,A
14.85189164,9.476759385,0.072266645,A
8.877439584,9.215313336,2.214820504,A
14.30613134,16.87261129,2.888838376,A
15.76216649,10.82047245,19.89071108,A
20.21139915,18.08541654,12.40256936,A
12.41578758,17.312939,16.0803918,A
9.888997172,4.047533903,3.944546077,A
15.12672778,19.91595053,9.521724385,A
13.10840061,10.72843949,0.346656627,A
12.55172031,2.375548792,4.233160497,A
12.66095247,0.869712991,12.78901272,A
6.819093296,4.518837939,8.328551293,A
6.920069978,10.81605729,15.78999067,A
16.16556959,8.059483806,0.433816869,A
16.51606495,17.80978034,15.78418618,A
11.6186863,0.953634601,11.683539,A
13.48057479,11.05951444,0.318808372,A
8.892098353,17.86387495,10.40802,A
13.00591476,17.90943332,4.362373333,A
21.30926693,2.423558833,10.28077424,A
14.17911886,2.404859511,16.28525416,A
13.22085636,9.27934311,0.342976176,A
14.32527339,7.68877915,0.313269904,A
19.04706602,1.800184707,6.149067083,A
15.00717908,10.02086553,0.130520614,A
11.33904745,10.83407272,19.19155462,A
17.87666069,18.42120544,5.593298719,A
16.21633276,9.316546232,0.261069415,A
21.91275604,6.914540721,16.25524127,A
23.27954052,11.91908563,14.96970095,A
18.85263423,17.94630031,5.676394341,A
23.44911316,11.72451457,5.149638513,A
12.51777084,7.830302792,0.663868016,A
15.75737352,9.1210759,19.9134674,A
7.815992347,7.157869752,3.834307248,A
11.33945417,1.397954663,6.875446113,A
9.26474044,8.831762774,2.090581402,A
7.942940987,14.75501753,14.97170379,A
10.21827458,17.6233538,5.789719998,A
19.95766137,16.63150639,15.41993497,A
